course_viewed,resource_viewed,link_viewed,module_viewed,discussion_viewed,homework_scored,forum-topic_viewed,quiz_viewed,test_completed,discussion_create,homework_min_score,homework_avg_score,homework_max_score,Place_in_course,Place_in_institution,successful_homeworks,successful_tests
0.05520304568527919,0.14453125,0.07407407407407407,0.031578947368421054,0.125,0.3333333333333333,0.016129032258064516,0.0,0.0,0.0,0.8837209302325582,0.8351648351648351,0.7755102040816326,0.12903225806451557,0.14634146341463383,0.3333333333333333,0.0
0.02982233502538071,0.05859375,0.024691358024691357,0.06315789473684211,0.0,0.3333333333333333,0.04838709677419355,0.0,0.16666666666666666,0.0,0.9418604651162792,0.8901098901098901,0.826530612244898,0.35483870967741904,0.36585365853658525,0.3333333333333333,0.16666666666666666
0.15101522842639592,0.11328125,0.3333333333333333,0.3368421052631579,0.125,0.6666666666666666,0.04838709677419355,0.0,0.5,0.0,0.9418604651162792,0.901098901098901,0.846938775510204,0.45161290322580605,0.4390243902439024,0.6666666666666666,0.5
0.026015228426395937,0.0390625,0.04938271604938271,0.07368421052631578,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.9418604651162792,0.8901098901098901,0.826530612244898,0.35483870967741904,0.36585365853658525,0.3333333333333333,0.6666666666666666
0.05456852791878172,0.0390625,0.2345679012345679,0.12631578947368421,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.9883720930232558,0.934065934065934,0.8673469387755102,0.6774193548387095,0.6585365853658538,0.3333333333333333,0.3333333333333333
0.03489847715736041,0.04296875,0.037037037037037035,0.12631578947368421,0.0,0.3333333333333333,0.03225806451612903,0.0,0.0,0.0,0.9418604651162792,0.8901098901098901,0.826530612244898,0.35483870967741904,0.36585365853658525,0.3333333333333333,0.0
0.157994923857868,0.06640625,0.16049382716049382,0.14736842105263157,0.0,1.0,0.016129032258064516,0.0,1.0,0.0,0.9534883720930233,0.9926739926739926,1.0,0.9677419354838706,0.9512195121951215,1.0,1.0
0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.930232558139535,0.9523809523809523,0.9489795918367347,0.8064516129032255,0.75609756097561,1.0,1.0
0.13895939086294415,0.40625,0.4444444444444444,0.15789473684210525,0.25,1.0,0.06451612903225806,0.0,0.5,0.0,0.7790697674418605,0.8644688644688643,0.8775510204081632,0.2580645161290325,0.24390243902439002,1.0,0.5
0.042512690355329945,0.08984375,0.04938271604938271,0.24210526315789474,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.9450549450549449,0.8775510204081632,0.741935483870968,0.7073170731707319,0.3333333333333333,0.0
0.07360406091370558,0.0859375,0.14814814814814814,0.12631578947368421,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,1.0,0.9450549450549449,0.8775510204081632,0.741935483870968,0.7073170731707319,0.3333333333333333,0.16666666666666666
0.41180203045685276,0.23828125,0.8148148148148148,0.3263157894736842,0.125,0.6666666666666666,0.11290322580645161,0.0,0.8333333333333333,0.0,0.9883720930232558,0.9505494505494504,0.8979591836734694,0.774193548387097,0.7317073170731709,0.6666666666666666,0.8333333333333333
0.02030456852791878,0.0078125,0.037037037037037035,0.06315789473684211,0.0,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.9883720930232558,0.934065934065934,0.8673469387755102,0.6774193548387095,0.6585365853658538,0.3333333333333333,0.16666666666666666
0.02347715736040609,0.01953125,0.0,0.031578947368421054,0.0,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.7790697674418605,0.8241758241758241,0.846938775510204,0.09677419354838701,0.12195121951219479,0.6666666666666666,0.16666666666666666
